SKU,S1_Last_weeks_sales,S0_Last_to_last_weeks_sales,ODP_1_Last_weeks_OD_Price,STP_2_Latest_Staples_Price,STP_1_Last_weeks_Staples_price
891672,20,12,3.99,0,0
327677,104,95,18.99,0,0
416271,988,920,1.99,0,0
593095,214,354,13.99,13.99,13.99
891536,21,4,3.99,0,0
113537,17,9,3.99,0,0
113546,25,39,13.99,0,0
115333,1,4,23.49,0,0
115387,0,0,35.49,0,0
117173,82,148,1.49,0,0
117345,0,8,3.89,4.29,4.29
117362,0,0,#N/A,#N/A,#N/A
140288,76,29,3.39,4.59,4.59
141582,0,0,4.79,5.59,5.59
144333,102,129,10.79,13.69,14.99
155130,27,26,1.99,1.99,1.99
185432,459,407,4.99,4.49,4.49
218607,4,0,13.29,0,0
222529,0,10,13.99,0,0
228595,3,2,21.99,0,0
228649,0,0,19.99,0,0
228658,0,0,14.99,0,0
229572,0,0,144.99,0,0
231133,0,0,29.99,0,0
232263,0,0,152.99,0,0
232326,0,0,108.99,0,0
233212,0,0,39.99,0,0
239332,0,1,46.99,0,0
239359,0,1,49.99,0,0
256237,4,2,56.99,0,0
336235,0,7,12.99,0,0
337488,2,5,11.89,0,0
426300,49,58,4.99,4.49,4.49
441185,0,0,4.99,0,0
450073,187,276,4.99,4.49,4.49
461316,6,8,8.69,0,0
473380,18,11,3.99,0,0
473387,60,44,3.99,0,0
474353,396,421,1.99,1.99,1.99
497527,0,0,1.99,0,0
506554,2,7,3.39,0,0
509625,32,49,5.99,0,0
509650,7,3,7.99,0,0
510122,98,113,3.99,0,0
510167,40,47,3.99,0,0
510338,4,9,3.99,0,0
510374,6,4,3.99,0,0
514510,127,125,4.99,4.49,4.49
514515,206,173,4.99,4.49,4.49
515389,0,0,1.99,0,0
515398,0,0,1.99,0,0
521014,0,0,1.99,0,0
521023,0,0,1.99,0,0
521810,0,0,169.99,0,0
542412,16,22,4.99,3.99,3.99
546154,0,2,1.29,0,0
546289,0,0,1.99,0,0
546399,1,6,6.29,0,0
559946,1,1,20.99,0,0
560639,0,0,59.99,0,0
565364,0,0,17.99,0,0
566410,31,34,6.29,7.79,7.79
570129,44,27,3.69,0,0
570399,230,200,1.99,2.99,2.99
582509,0,0,19.99,0,0
595179,1,0,28.79,0,0
603095,15,19,19.99,26.49,26.49
617900,8,1,19.99,27.59,27.59
633463,3,1,60.89,0,0
657717,40,27,27.99,0,0
657762,30,4,6.99,9.79,9.79
660436,31,37,4.99,4.79,4.79
660499,0,0,4.99,5.49,5.49
664027,10,14,10.29,0,0
667858,523,379,2.99,0,0
672788,0,0,12.99,0,0
672797,0,0,11.99,0,0
672959,5,0,30.99,0,0
672977,0,0,27.99,0,0
675569,388,377,1.99,2.89,2.89
675578,0,0,62.99,0,0
704540,0,0,7.99,0,0
716443,0,0,118.09,0,0
723138,488,373,1.49,0,0
723174,39,101,4.49,0,0
726142,0,0,29.99,0,0
726169,2,0,35.99,0,0
726187,0,0,19.99,0,0
726637,1,2,19.99,0,0
726673,0,0,19.99,0,0
726799,0,0,59.99,0,0
726817,2,8,29.99,44.89,44.89
734082,215,298,2.99,0,0
746806,0,3,39.99,39.99,39.99
746878,0,0,49.99,45.99,45.99
746887,0,0,21.99,0,0
750388,8,1,12.99,0,0
750397,20,13,14.99,0,0
767124,11,6,11.99,0,0
767556,83,59,4.99,5.79,5.79
774720,24,22,19.99,26.49,26.49
774744,46,45,19.99,0,0
778516,0,0,59.99,0,0
778534,1,0,89.99,63.29,63.29
832273,0,7,3.99,0,0
858208,1,9,15.19,0,0
866598,2,17,33.99,0,0
866605,24,11,33.99,36.99,36.99
890441,17,19,3.39,4.09,4.09
521086,0,0,1.99,0,0
117540,0,0,#N/A,#N/A,#N/A
215700,0,0,#N/A,#N/A,#N/A
382909,0,0,#N/A,#N/A,#N/A
521845,0,0,#N/A,#N/A,#N/A
660454,0,0,#N/A,#N/A,#N/A
