Product_name,Designer_bags,Wheeled,Packable
rockland black polka-dot duffel bag,1,0,0
rockland floral & butterflies wheeled duffel bag,1,1,0
rockland giraffe duffel bag,1,0,0
rockland giraffe wheeled duffel bag,1,1,0
rockland heart wheeled duffel bag,1,1,0
rockland leopard wheeled duffel bag,1,1,0
rockland love wheeled duffel bag,1,1,0
"rockland luggage, floral & butterflies wheeled duffel bag",1,1,0
"rockland luggage, giraffe wheeled duffel bag",1,1,0
"rockland luggage, heart wheeled duffel bag",1,1,0
"rockland luggage, leopard wheeled duffel bag",1,1,0
"rockland luggage, love wheeled duffel bag",1,1,0
"rockland luggage, paisley & floral wheeled duffel bag",1,1,0
"rockland luggage, peace wheeled duffel bag",1,1,0
"rockland luggage, pearl wheeled duffel bag",1,1,0
"rockland luggage, plaid wheeled duffel bag",1,1,0
"rockland luggage, polka dot wheeled duffel bag",1,1,0
"rockland luggage, skull wheeled duffel bag",1,1,0
"rockland luggage, wheeled duffel bag",0,1,0
"rockland luggage, zebra wheeled duffel bag",1,1,0
rockland paisley & floral wheeled duffel bag,1,1,0
rockland peace duffel bag,1,0,0
rockland peace wheeled duffel bag,1,1,0
rockland pearl wheeled duffel bag,1,1,0
rockland pink polka-dot duffel bag,1,0,0
rockland plaid duffel bag,1,0,0
rockland plaid wheeled duffel bag,1,1,0
rockland polka dot wheeled duffel bag,1,1,0
rockland polka-dot duffel bag,1,0,0
rockland skull wheeled duffel bag,1,1,0
rockland wheeled duffel bag,0,1,0
rockland zebra duffel bag,1,0,0
rockland zebra wheeled duffel bag,1,1,0
t-tech by tumi packable duffel bag,0,0,1
t-tech by tumi packable gym bag,0,0,1
wildkin big dots good times rolling duffel bag - kids,1,0,0
wildkin camo good times rolling duffel bag - kids,1,0,0
"wildkin olive kids trains, planes & trucks good times rolling duffel bag - boys",1,0,0
"wildkin olive kids trains, planes & trucks good times rolling duffel bag - kids",1,0,0
