Kohls_product_name,Laptop_facility,Leather,Expandable,Size_mentioned,Wheeled
leatherbay commuter laptop case,1,1,0,0,0
mcklein alexis 15.4-in. laptop briefcase,1,0,0,1,0
mcklein avon 15.4-in. laptop briefcase,1,0,0,1,0
mcklein bucktown leather briefcase,0,1,0,0,0
mcklein daley briefcase,0,1,0,0,0
mcklein damen wheeled leather laptop case,1,1,0,0,1
mcklein flournoy 15.4-in. laptop briefcase,1,0,0,1,0
mcklein halsted leather laptop case,1,1,0,0,0
mcklein lasalle wheeled laptop overnight bag,1,0,0,0,1
mcklein lawson briefcase,0,1,0,0,0
mcklein lexington briefcase,0,1,0,0,0
"mcklein luggage, lasalle wheeled laptop overnight bag",1,0,0,0,1
mcklein morgan leather laptop briefcase,1,1,0,0,0
mcklein pearson expandable briefcase,0,0,1,0,0
mcklein pearson expandable laptop briefcase,1,0,1,0,0
mcklein reagan briefcase,0,1,0,0,0
mcklein verona 15.4-in. laptop briefcase,1,0,0,1,0
mcklein walton expandable laptop case,1,0,1,0,0
mcklein west loop leather briefcase,0,1,0,0,0
mcklein willowbrook detachable-wheeled briefcase,0,0,0,0,1
mcklein&reg; bucktown leather briefcase,0,1,0,0,0
mcklein&reg; damen wheeled leather laptop case,1,1,0,0,1
mcklein&reg; flournoy 15.4-in. laptop briefcase,1,0,0,1,0
mcklein&reg; halsted leather laptop case,1,1,0,0,0
mcklein&reg; lasalle wheeled laptop overnight bag,1,0,0,0,1
mcklein&reg; pearson expandable laptop briefcase,1,0,1,0,0
mcklein&reg; walton expandable laptop case,1,0,1,0,0
mcklein&reg; west loop leather briefcase,0,1,0,0,0
solo classic 15.6-in. expandable laptop messenger bag,1,0,1,1,0
solo classic 17-in. laptop messenger bag,1,0,0,1,0
solo classic 17.3-in. laptop attache,1,0,0,1,0
solo vector 17.3-in. laptop messenger bag,1,0,0,1,0
sumdex business 17-in. laptop bag,1,0,0,1,0
sumdex business 17-in. laptop tote,1,0,0,1,0
sumdex neometro link 13-in. macbook pro briefcase,0,0,0,1,0
sumdex neometro link 15-in. laptop laptop briefcase,1,0,0,1,0
sumdex passage expandable laptop briefcase,1,0,1,0,0
sumdex passageexpandable laptop briefcase,1,0,1,0,0
sumdex she rules fashion laptop tote,1,0,0,0,0
sumdex she rules? fashion laptop tote,1,0,0,0,0
sumdex she rules?fashion laptop tote,1,0,0,0,0
sumdex she rulesfashion laptop tote,1,0,0,0,0
sumdex&reg; business 17-in. laptop tote,1,0,0,1,0
sumdex&reg; neometro link 15-in. laptop laptop briefcase,1,0,0,1,0
wildkin big dots laptop messenger bag - kids,1,0,0,0,0
