Kohls_product_name,pc_2_3,pc_4_5,Designer_bags,Expandable,wheeled_spinner
"heys usa luggage, xcase checkered 20-in. wheeled carry-on",0,0,1,0,1
rockland 2-pc. luggage set,1,0,0,0,0
rockland 3-pc. hardside spinner luggage set,1,0,0,0,1
rockland 4-pc. luggage set,0,1,0,0,0
"rockland luggage, 2-pc. luggage set",1,0,0,0,0
"rockland luggage, 3-pc. hardside spinner luggage set",1,0,0,0,1
"rockland luggage, 3-pc. polo equipment expandable spinner luggage set",1,0,0,0,1
"rockland luggage, 3-pc. spinner luggage set",1,0,0,0,1
"rockland luggage, 3-pc. wheeled luggage set",1,0,0,0,1
"rockland luggage, 4-pc. luggage set",0,1,0,0,0
"rockland luggage, leopard 5-pc. luggage set",0,1,1,0,0
"rockland luggage, pearl 20-in. hardside spinner carry-on",0,0,1,0,1
"rockland luggage, polo equipment 3-pc. expandable spinner luggage set",1,0,1,0,1
"rockland luggage, polo equipment 4-pc. expandable wheeled luggage set",0,1,1,0,1
"rockland luggage, pucci 20-in. hardside spinner carry-on",0,0,1,0,1
rockland polo equipment 4-pc. expandable wheeled luggage set,0,1,1,0,1
