Kohls_product_name,Neck_pillow,Containers,Lock,Tags,Packing_cube,laptop_sleeve,Scale
belle hop comfort neck pillow,1,0,0,0,0,0,0
belle hop&trade; comfort neck pillow,1,0,0,0,0,0,0
gotoob by humangear 3-pk. small containers,0,1,0,0,0,0,0
gotoob&trade; by humangear 3-pk. small containers,0,1,0,0,0,0,0
heys usa travelmate camouflage bag,0,0,0,0,0,0,0
lewis n. clark comfort neck pillow,1,0,0,0,0,0,0
mcklein sheridan detachable-wheeled catalog case,0,0,0,0,0,0,0
sumdex aircube laptop sleeve,0,0,0,0,0,1,0
sumdex aircube? laptop sleeve,0,0,0,0,0,1,0
sumdex aircubelaptop sleeve,0,0,0,0,0,1,0
sumdex digipod laptop sleeve,0,0,0,0,0,1,0
sumdex&reg; aircube&trade; laptop sleeve,0,0,0,0,0,1,0
sumdex&reg; digipod laptop sleeve,0,0,0,0,0,1,0
t-tech by tumi 2-pc. luggage tag set,0,0,0,1,0,0,0
t-tech by tumi analog luggage scale,0,0,0,0,0,0,1
t-tech by tumi cable lock,0,0,1,0,0,0,0
t-tech by tumi convertible undercover stash,0,0,0,0,0,0,0
t-tech by tumi digital flashlight clock,0,0,1,0,0,0,0
t-tech by tumi digital luggage scale,0,0,0,0,0,0,1
t-tech by tumi double cable lock,0,0,1,0,0,0,0
t-tech by tumi fiber neck pillow,1,0,0,0,0,0,0
t-tech by tumi knit eye shade,0,0,0,0,0,0,0
t-tech by tumi large packing cube,0,0,0,0,1,0,0
t-tech by tumi luggage strap,0,0,0,0,0,0,0
t-tech by tumi luggage tag,0,0,0,1,0,0,0
t-tech by tumi medium packing cube,0,0,0,0,1,0,0
t-tech by tumi memory foam neck pillow,1,0,0,0,0,0,0
t-tech by tumi shirt folder,0,0,0,0,0,0,0
t-tech by tumi travel adapter with usb,0,0,0,0,0,0,0
t-tech by tumi ereader light,0,0,0,0,0,0,0
taylor digital luggage scale,0,0,0,0,0,0,1
taylor&reg; digital luggage scale,0,0,0,0,0,0,1
