No,,Col_names R,,Col_names_SAS
24,8,amazon_Product_Description,8,amazon_additional_info
26,1,amazon_additional_info,1,amazon_Availability
49,48,Price_rat_amazon_final_pr,48,amazon_Availability_flag
27,7,amazon_price_promo,7,amazon_disc_perc
23,5,amazon_final_price,5,amazon_final_price
22,6,amazon_markdown_price,6,amazon_markdown_price
25,2,amazon_availability,2,amazon_price_promo
19,11,amazon_Regular_price,11,amazon_Product_description
17,36,kohl_price_promo,36,amazon_product_id
18,10,amazon_product_name,10,amazon_product_name
20,12,amazon_Shipping,12,amazon_Regular_price
21,4,amazon_disc_perc,4,amazon_Shipping
66,18,amz_rating_4_5_cnt,18,Amz_Avg_rating
51,49,Price_rat_amazon_reg_pr,49,Amz_pdt_desc_length
69,52,rating1_cnt,52,amz_rating_1_2
70,53,rating5_cnt,53,amz_rating_1_2_cnt
67,15,amz_rating_1_2,15,amz_rating_4_5
68,16,amz_rating_1_2_cnt,16,amz_rating_4_5_cnt
60,21,Amz_rating3,21,Amz_rating1
61,22,Amz_rating4,22,Amz_rating2
62,23,Amz_rating5,23,Amz_rating3
63,24,Amz_Review_count,24,Amz_rating4
64,13,Amz_Avg_rating,13,Amz_rating5
65,17,amz_rating_4_5,17,Amz_Review_count
14,37,kohl_Product_Description,37,Extraction_Date
53,25,Availability,25,firstdate
2,9,amazon_product_ID,9,gross_sales
11,32,kohl_disc_perc,32,kohl_additional_info
13,33,kohl_final_price,33,kohl_Availability
48,47,Price_diff_target_reg_pr,47,kohl_availability_flag
16,29,kohl_additional_info,29,kohl_disc_perc
10,41,kohl_Shipping,41,kohl_final_price
9,40,kohl_Regular_price,40,kohl_markdown_price
39,31,kohl_availability_flag,31,kohl_pdt_desc_length
12,34,kohl_markdown_price,34,kohl_price_promo
6,73,TCIN,73,kohl_Product_description
1,74,week_nmb,74,kohl_product_id
5,43,net_Sales,43,kohl_product_name
7,26,Extraction_Date,26,kohl_Regular_price
8,39,kohl_product_name,39,kohl_Shipping
54,27,firstDate,27,lastdate
58,19,Amz_rating1,19,max_tcin_price
59,20,Amz_rating2,20,min_tcin_price
4,28,gross_sales,28,net_Sales
40,3,amazon_availability_flag,3,price_diff_amazon_final_pr
42,35,kohl_pdt_desc_length,35,Price_diff_amazon_reg_pr
41,62,Target_availability_flag,62,Price_diff_target_final_pr
43,14,Amz_pdt_desc_length,14,Price_diff_target_reg_pr
44,66,Target_pdt_desc_length,66,Price_rat_amazon_final_pr
46,46,Price_diff_target_final_pr,46,Price_rat_amazon_reg_pr
45,44,Price_diff_amazon_final_pr,44,Price_rat_target_final_pr
47,45,Price_diff_amazon_reg_pr,45,Price_rat_target_reg_pr
71,56,reviews_1_M,56,rating1_cnt
72,57,reviews_2_M,57,rating5_cnt
56,55,Recency_week,55,Recency_Month
55,42,lastDate,42,Recency_week
73,58,reviews_3_M,58,reviews_1_M
74,59,reviews_6_M,59,reviews_2_M
,,,75,reviews_3_M
,,,76,reviews_6_M
35,68,Target_Product_Description,68,target_additional_info
37,60,Target_additional_info,60,target_Availability
50,50,Price_rat_target_final_pr,50,target_Availability_flag
38,67,Target_price_promo,67,target_disc_perc
34,64,Target_final_price,64,target_final_price
33,65,Target_markdown_price,65,target_markdown_price
52,51,Price_rat_target_reg_pr,51,target_pdt_desc_length
36,61,Target_availability,61,target_price_promo
30,71,Target_Regular_price,71,target_Product_description
28,69,Target_product_ID,69,target_product_id
29,70,Target_product_name,70,target_product_name
31,72,Target_Shipping,72,target_Regular_price
32,63,Target_disc_perc,63,target_Shipping
15,30,kohl_availability,30,TCIN
57,54,Recency_month,54,TCIN_var
3,38,kohl_product_id,38,week_nmb
